Trajectory_ID,Order,Latitude,Longitude,Latitude_2,Longitude_2,Bearing,Type
59,7,35.262688,-59.454468,35.26266,-59.454117,95.57989467320203,Fishing
59,10,35.26266,-59.454117,35.262638,-59.45373,93.98252236584074,Fishing
59,13,35.262638,-59.45373,35.26263,-59.453495,92.38735600420421,Fishing
59,15,35.26263,-59.453495,35.262623,-59.453228,91.83898509034043,Fishing
59,17,35.262623,-59.453228,,,,Fishing
64,0,35.26265,-59.4558,35.26274,-59.456635,277.5201305748001,Fishing
64,14,35.26274,-59.456635,35.262917,-59.456482,35.21435267503472,Fishing
64,22,35.262917,-59.456482,35.2626,-59.456615,198.91020929575302,Fishing
64,27,35.2626,-59.456615,35.262646,-59.4563,79.85989631117076,Fishing
64,30,35.262646,-59.4563,35.262665,-59.45686,272.37960171790434,Fishing
64,64,35.262665,-59.45686,35.26244,-59.45667,145.4136185001339,Fishing
64,68,35.26244,-59.45667,35.2627,-59.456955,318.1707134263787,Fishing
64,85,35.2627,-59.456955,,,,Fishing
65,0,35.2625,-59.45554,35.262394,-59.455433,140.50396912395615,Fishing
65,2,35.262394,-59.455433,35.26276,-59.45555,345.37124871786574,Fishing
65,6,35.26276,-59.45555,35.26241,-59.45578,208.21659835023922,Fishing
65,15,35.26241,-59.45578,35.262634,-59.455784,359.16465166268233,Fishing
65,20,35.262634,-59.455784,35.26271,-59.45625,281.29571834517935,Fishing
65,34,35.26271,-59.45625,35.26247,-59.45669,236.2561014630923,Fishing
65,42,35.26247,-59.45669,35.26238,-59.456585,136.39049693631773,Fishing
65,47,35.26238,-59.456585,,,,Fishing
68,0,35.262653,-59.45548,35.262745,-59.455204,67.79268434857465,Fishing
68,2,35.262745,-59.455204,35.262722,-59.45444,92.11130912880753,Fishing
68,6,35.262722,-59.45444,35.26266,-59.453583,95.06309625561846,Fishing
68,11,35.26266,-59.453583,35.262714,-59.453033,83.14322146702989,Fishing
68,15,35.262714,-59.453033,35.26282,-59.452435,77.75149001068274,Fishing
68,20,35.26282,-59.452435,35.262623,-59.45149,104.32205881707381,Fishing
68,27,35.262623,-59.45149,35.262638,-59.450775,88.5279945788701,Fishing
68,32,35.262638,-59.450775,,,,Fishing
78,0,35.262604,-59.45548,35.26266,-59.45407,87.2148469373634,Fishing
78,9,35.26266,-59.45407,35.262287,-59.45032,96.94437690267097,Fishing
78,33,35.262287,-59.45032,35.262543,-59.4493,72.91335276824316,Fishing
78,41,35.262543,-59.4493,35.262188,-59.44635,98.3830950771902,Fishing
78,59,35.262188,-59.44635,35.262283,-59.44582,77.61844999392406,Fishing
78,63,35.262283,-59.44582,35.2621,-59.4453,113.31609946288938,Fishing
78,67,35.2621,-59.4453,35.262135,-59.44434,87.44311263401204,Fishing
78,74,35.262135,-59.44434,,,,Fishing
83,0,35.26258,-59.455486,35.26258,-59.455364,89.9999647827944,Fishing
83,1,35.26258,-59.455364,35.26258,-59.45526,89.99996997971851,Fishing
83,2,35.26258,-59.45526,35.26258,-59.455128,89.99996189654718,Fishing
83,3,35.26258,-59.455128,35.262585,-59.454983,87.58170039504807,Fishing
83,4,35.262585,-59.454983,35.262585,-59.454845,89.99996016503741,Fishing
83,5,35.262585,-59.454845,35.262585,-59.454727,89.99996593808612,Fishing
83,6,35.262585,-59.454727,35.262585,-59.454575,89.99995612248097,Fishing
83,7,35.262585,-59.454575,,,,Fishing
85,0,35.262714,-59.455547,35.26279,-59.455383,60.422735494247775,Fishing
85,2,35.26279,-59.455383,35.26248,-59.455517,199.4402619192638,Fishing
85,8,35.26248,-59.455517,35.262684,-59.45583,308.5976040446852,Fishing
85,14,35.262684,-59.45583,35.262547,-59.455524,118.73681663873089,Fishing
85,17,35.262547,-59.455524,35.262512,-59.455708,256.8861865848855,Fishing
85,20,35.262512,-59.455708,35.262226,-59.455322,132.22145755021643,Fishing
85,24,35.262226,-59.455322,35.2623,-59.455204,52.474255098066465,Fishing
85,27,35.2623,-59.455204,,,,Fishing
